+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Read Consistency level: ALL, Duration: 820.894 ms                                                        |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                           Description                                           |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
| 2024-09-26 06:21:28.375000+00:00 | 10.0.0.5 | 0:00:00.000099 |                      Parsing SELECT * FROM three_dc_three_replicas.mytable;                     |
| 2024-09-26 06:21:28.375000+00:00 | 10.0.0.5 | 0:00:00.000243 |                                       Preparing statement                                       |
| 2024-09-26 06:21:28.375000+00:00 | 10.0.0.5 | 0:00:00.000612 |                                    Computing ranges to query                                    |
| 2024-09-26 06:21:28.376000+00:00 | 10.0.0.5 | 0:00:00.000992 |  Submitting range requests on 145 ranges with a concurrency of 80 (3.2 rows per range expected) |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004585 |       Enqueuing request to Full(/10.0.0.5:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004699 |       Enqueuing request to Full(/10.0.0.4:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004710 |                Sending RANGE_REQ message to /10.0.0.5:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004797 |       Enqueuing request to Full(/10.0.0.6:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004844 |                Sending RANGE_REQ message to /10.0.0.4:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.379000+00:00 | 10.0.0.5 | 0:00:00.004885 |       Enqueuing request to Full(/10.1.0.5:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.004900 |                Sending RANGE_REQ message to /10.0.0.6:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.004972 |       Enqueuing request to Full(/10.2.0.5:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.004982 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.005029 |                Sending RANGE_REQ message to /10.1.0.5:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.005047 |       Enqueuing request to Full(/10.2.0.4:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380000+00:00 | 10.0.0.5 | 0:00:00.005107 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005132 |                Sending RANGE_REQ message to /10.2.0.4:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005191 |                Sending RANGE_REQ message to /10.2.0.5:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005269 |       Enqueuing request to Full(/10.1.0.4:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005363 |       Enqueuing request to Full(/10.1.0.6:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005414 |                Sending RANGE_REQ message to /10.1.0.4:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005460 |       Enqueuing request to Full(/10.2.0.6:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005484 |                Sending RANGE_REQ message to /10.1.0.6:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005562 |                              Submitted 1 concurrent range requests                              |
| 2024-09-26 06:21:28.380001+00:00 | 10.0.0.5 | 0:00:00.005591 |                Sending RANGE_REQ message to /10.2.0.6:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.380002+00:00 | 10.0.0.5 | 0:00:00.005767 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.380002+00:00 | 10.0.0.5 | 0:00:00.005850 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.381000+00:00 | 10.0.0.5 | 0:00:00.005931 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.381000+00:00 | 10.0.0.6 | 0:00:00.000014 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.381000+00:00 | 10.0.0.5 | 0:00:00.006112 |                          RANGE_RSP message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.381000+00:00 | 10.0.0.6 | 0:00:00.000221 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.381000+00:00 | 10.0.0.5 | 0:00:00.006215 |                             Processing response from /10.0.0.5:7001                             |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.5 | 0:00:00.007010 |                          RANGE_RSP message received from /10.0.0.4:7001                         |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.4 | 0:00:00.000009 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.6 | 0:00:00.000700 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.5 | 0:00:00.007115 |                             Processing response from /10.0.0.4:7001                             |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.4 | 0:00:00.000163 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.6 | 0:00:00.000839 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.5 | 0:00:00.007350 |                          RANGE_RSP message received from /10.0.0.6:7001                         |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.4 | 0:00:00.000742 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.6 | 0:00:00.000912 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.382000+00:00 | 10.0.0.5 | 0:00:00.007506 |                             Processing response from /10.0.0.6:7001                             |
| 2024-09-26 06:21:28.383000+00:00 | 10.0.0.4 | 0:00:00.000811 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.383000+00:00 | 10.0.0.4 | 0:00:00.000888 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.395000+00:00 | 10.1.0.4 | 0:00:00.000019 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.395000+00:00 | 10.1.0.4 | 0:00:00.000317 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.396000+00:00 | 10.1.0.4 | 0:00:00.000980 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.396000+00:00 | 10.2.0.5 | 0:00:00.000017 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.396000+00:00 | 10.1.0.4 | 0:00:00.001059 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.396000+00:00 | 10.2.0.5 | 0:00:00.000316 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.396000+00:00 | 10.1.0.4 | 0:00:00.001161 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.5 | 0:00:00.000016 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.6 | 0:00:00.000012 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.397000+00:00 | 10.2.0.6 | 0:00:00.000009 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.397000+00:00 | 10.2.0.5 | 0:00:00.001047 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.5 | 0:00:00.000234 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.6 | 0:00:00.000280 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.397000+00:00 | 10.2.0.6 | 0:00:00.000188 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.397000+00:00 | 10.2.0.5 | 0:00:00.001141 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.5 | 0:00:00.000928 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.397000+00:00 | 10.2.0.5 | 0:00:00.001264 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.397000+00:00 | 10.1.0.5 | 0:00:00.000994 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.398000+00:00 | 10.1.0.5 | 0:00:00.001131 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.398000+00:00 | 10.1.0.6 | 0:00:00.000939 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.398000+00:00 | 10.2.0.6 | 0:00:00.000803 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.398000+00:00 | 10.1.0.6 | 0:00:00.001011 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.398000+00:00 | 10.2.0.6 | 0:00:00.000875 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.398000+00:00 | 10.1.0.6 | 0:00:00.001256 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.398000+00:00 | 10.2.0.6 | 0:00:00.000962 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.399000+00:00 | 10.2.0.4 | 0:00:00.000020 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.399000+00:00 | 10.2.0.4 | 0:00:00.000294 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.399000+00:00 | 10.2.0.4 | 0:00:00.000807 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.399000+00:00 | 10.2.0.4 | 0:00:00.000874 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-09-26 06:21:28.399000+00:00 | 10.2.0.4 | 0:00:00.000951 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.410000+00:00 | 10.0.0.5 | 0:00:00.035581 |                          RANGE_RSP message received from /10.1.0.6:7001                         |
| 2024-09-26 06:21:28.410000+00:00 | 10.0.0.5 | 0:00:00.035755 |                             Processing response from /10.1.0.6:7001                             |
| 2024-09-26 06:21:28.417000+00:00 | 10.0.0.5 | 0:00:00.042506 |                          RANGE_RSP message received from /10.1.0.5:7001                         |
| 2024-09-26 06:21:28.417000+00:00 | 10.0.0.5 | 0:00:00.042584 |                             Processing response from /10.1.0.5:7001                             |
| 2024-09-26 06:21:28.424000+00:00 | 10.0.0.5 | 0:00:00.049641 |                          RANGE_RSP message received from /10.1.0.4:7001                         |
| 2024-09-26 06:21:28.424000+00:00 | 10.0.0.5 | 0:00:00.049795 |                             Processing response from /10.1.0.4:7001                             |
| 2024-09-26 06:21:28.427000+00:00 | 10.0.0.5 | 0:00:00.052189 |                          RANGE_RSP message received from /10.2.0.4:7001                         |
| 2024-09-26 06:21:28.427000+00:00 | 10.0.0.5 | 0:00:00.052265 |                             Processing response from /10.2.0.4:7001                             |
| 2024-09-26 06:21:28.440000+00:00 | 10.0.0.5 | 0:00:00.065644 |                          RANGE_RSP message received from /10.2.0.6:7001                         |
| 2024-09-26 06:21:28.440000+00:00 | 10.0.0.5 | 0:00:00.065718 |                             Processing response from /10.2.0.6:7001                             |
| 2024-09-26 06:21:28.443000+00:00 | 10.0.0.5 | 0:00:00.068044 |                          RANGE_RSP message received from /10.2.0.5:7001                         |
| 2024-09-26 06:21:28.443000+00:00 | 10.0.0.5 | 0:00:00.068143 |                             Processing response from /10.2.0.5:7001                             |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
