+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                   Read Consistency level: LOCAL_QUORUM, Duration: 63.778 ms                                                    |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                           Description                                           |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
| 2024-09-26 06:21:28.266000+00:00 | 10.0.0.4 | 0:00:00.000087 |                      Parsing SELECT * FROM three_dc_three_replicas.mytable;                     |
| 2024-09-26 06:21:28.266000+00:00 | 10.0.0.4 | 0:00:00.000153 |                                       Preparing statement                                       |
| 2024-09-26 06:21:28.266001+00:00 | 10.0.0.4 | 0:00:00.000353 |                                    Computing ranges to query                                    |
| 2024-09-26 06:21:28.267000+00:00 | 10.0.0.4 | 0:00:00.000650 |  Submitting range requests on 145 ranges with a concurrency of 80 (3.2 rows per range expected) |
| 2024-09-26 06:21:28.269000+00:00 | 10.0.0.5 | 0:00:00.000013 |                          RANGE_REQ message received from /10.0.0.4:7001                         |
| 2024-09-26 06:21:28.269000+00:00 | 10.0.0.4 | 0:00:00.003164 |       Enqueuing request to Full(/10.0.0.4:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.269000+00:00 | 10.0.0.5 | 0:00:00.000216 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.269000+00:00 | 10.0.0.4 | 0:00:00.003346 |                Sending RANGE_REQ message to /10.0.0.4:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.5 | 0:00:00.000781 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.003548 |       Enqueuing request to Full(/10.0.0.5:7001,(9127929916650806786,-9142095568263332419])      |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.5 | 0:00:00.000844 |                               Enqueuing response to /10.0.0.4:7001                              |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.003637 |                              Submitted 1 concurrent range requests                              |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.5 | 0:00:00.000922 |                Sending RANGE_RSP message to /10.0.0.4:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.003646 |                          RANGE_REQ message received from /10.0.0.4:7001                         |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.003656 |                Sending RANGE_REQ message to /10.0.0.5:7001 message size 107 bytes               |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.003825 | Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-09-26 06:21:28.270000+00:00 | 10.0.0.4 | 0:00:00.004325 |                              Read 5 live rows and 0 tombstone cells                             |
| 2024-09-26 06:21:28.270001+00:00 | 10.0.0.4 | 0:00:00.004402 |                               Enqueuing response to /10.0.0.4:7001                              |
| 2024-09-26 06:21:28.271000+00:00 | 10.0.0.4 | 0:00:00.004498 |                Sending RANGE_RSP message to /10.0.0.4:7001 message size 206 bytes               |
| 2024-09-26 06:21:28.271000+00:00 | 10.0.0.4 | 0:00:00.004694 |                          RANGE_RSP message received from /10.0.0.4:7001                         |
| 2024-09-26 06:21:28.271000+00:00 | 10.0.0.4 | 0:00:00.004803 |                             Processing response from /10.0.0.4:7001                             |
| 2024-09-26 06:21:28.272000+00:00 | 10.0.0.4 | 0:00:00.006052 |                          RANGE_RSP message received from /10.0.0.5:7001                         |
| 2024-09-26 06:21:28.272000+00:00 | 10.0.0.4 | 0:00:00.006163 |                             Processing response from /10.0.0.5:7001                             |
+----------------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
