+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                 Consistency level: ALL, Duration: 508.4920000000001 ms                                                 |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                       Description                                       |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.5 | 0:00:00.000026 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.5 | 0:00:00.000155 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.4 | 0:00:00.000119 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (5, 'record D'); |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.5 | 0:00:00.000228 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.4 | 0:00:00.000316 |                                   Preparing statement                                   |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.5 | 0:00:00.000284 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.420000+00:00 | 10.0.0.5 | 0:00:00.000384 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.4 | 0:00:00.000689 |                            Determining replicas for mutation                            |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.6 | 0:00:00.000015 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.4 | 0:00:00.000841 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.6 | 0:00:00.000164 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.4 | 0:00:00.000883 |           Sending MUTATION_REQ message to /10.0.0.5:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.6 | 0:00:00.000255 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.4 | 0:00:00.000881 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.421000+00:00 | 10.0.0.6 | 0:00:00.000303 |                           Enqueuing response to /10.0.0.4:7001                          |
