+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                  Consistency level: EACH_QUORUM, Duration: 445.344 ms                                                  |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                       Description                                       |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-09-26 06:20:57.346000+00:00 | 10.0.0.5 | 0:00:00.000007 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.346000+00:00 | 10.0.0.5 | 0:00:00.000123 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.346000+00:00 | 10.0.0.4 | 0:00:00.000128 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (4, 'record C'); |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.5 | 0:00:00.000210 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000267 |                                   Preparing statement                                   |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.6 | 0:00:00.000018 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.5 | 0:00:00.000292 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000570 |                            Determining replicas for mutation                            |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.6 | 0:00:00.000195 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.5 | 0:00:00.000360 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000831 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000835 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000890 |           Sending MUTATION_REQ message to /10.0.0.5:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.347000+00:00 | 10.0.0.4 | 0:00:00.000913 |          Sending MUTATION_REQ message to /10.2.0.5:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.347001+00:00 | 10.0.0.4 | 0:00:00.000928 |          Sending MUTATION_REQ message to /10.1.0.5:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.347001+00:00 | 10.0.0.4 | 0:00:00.000953 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.348000+00:00 | 10.0.0.6 | 0:00:00.000278 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.348000+00:00 | 10.0.0.6 | 0:00:00.000338 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.348000+00:00 | 10.0.0.6 | 0:00:00.000440 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.349000+00:00 | 10.0.0.4 | 0:00:00.002216 |                    MUTATION_RSP message received from /10.0.0.5:7001                    |
| 2024-09-26 06:20:57.349000+00:00 | 10.0.0.4 | 0:00:00.002302 |                         Processing response from /10.0.0.5:7001                         |
| 2024-09-26 06:20:57.349000+00:00 | 10.0.0.4 | 0:00:00.002596 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-09-26 06:20:57.349000+00:00 | 10.0.0.4 | 0:00:00.002709 |                         Processing response from /10.0.0.6:7001                         |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000009 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000149 |                       Enqueuing forwarded write to /10.1.0.6:7001                       |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000219 |                       Enqueuing forwarded write to /10.1.0.4:7001                       |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000241 |           Sending MUTATION_REQ message to /10.1.0.6:7001 message size 96 bytes          |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000268 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.360000+00:00 | 10.1.0.5 | 0:00:00.000307 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.360001+00:00 | 10.1.0.5 | 0:00:00.000306 |           Sending MUTATION_REQ message to /10.1.0.4:7001 message size 96 bytes          |
| 2024-09-26 06:20:57.360001+00:00 | 10.1.0.5 | 0:00:00.000361 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.360001+00:00 | 10.1.0.5 | 0:00:00.000433 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.361000+00:00 | 10.1.0.4 | 0:00:00.000008 |                    MUTATION_REQ message received from /10.1.0.5:7001                    |
| 2024-09-26 06:20:57.361000+00:00 | 10.1.0.4 | 0:00:00.000128 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.6 | 0:00:00.000008 |                    MUTATION_REQ message received from /10.1.0.5:7001                    |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.4 | 0:00:00.000214 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.6 | 0:00:00.000091 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.4 | 0:00:00.000284 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.6 | 0:00:00.000153 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.4 | 0:00:00.000362 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.6 | 0:00:00.000199 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.362000+00:00 | 10.1.0.6 | 0:00:00.000271 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.374000+00:00 | 10.2.0.6 | 0:00:00.000113 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.374000+00:00 | 10.2.0.5 | 0:00:00.000021 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.374000+00:00 | 10.2.0.6 | 0:00:00.000196 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.374000+00:00 | 10.2.0.6 | 0:00:00.000236 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.375000+00:00 | 10.2.0.5 | 0:00:00.000294 |                       Enqueuing forwarded write to /10.2.0.6:7001                       |
| 2024-09-26 06:20:57.375000+00:00 | 10.2.0.5 | 0:00:00.000366 |           Sending MUTATION_REQ message to /10.2.0.4:7001 message size 96 bytes          |
| 2024-09-26 06:20:57.375001+00:00 | 10.2.0.5 | 0:00:00.000545 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.377000+00:00 | 10.2.0.4 | 0:00:00.000092 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.377000+00:00 | 10.2.0.4 | 0:00:00.000163 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.384000+00:00 | 10.0.0.4 | 0:00:00.037360 |                    MUTATION_RSP message received from /10.1.0.4:7001                    |
| 2024-09-26 06:20:57.384000+00:00 | 10.0.0.4 | 0:00:00.037530 |                         Processing response from /10.1.0.4:7001                         |
| 2024-09-26 06:20:57.385000+00:00 | 10.0.0.4 | 0:00:00.038672 |                    MUTATION_RSP message received from /10.1.0.5:7001                    |
| 2024-09-26 06:20:57.385000+00:00 | 10.0.0.4 | 0:00:00.038773 |                         Processing response from /10.1.0.5:7001                         |
| 2024-09-26 06:20:57.385000+00:00 | 10.0.0.4 | 0:00:00.039097 |                    MUTATION_RSP message received from /10.1.0.6:7001                    |
| 2024-09-26 06:20:57.386000+00:00 | 10.0.0.4 | 0:00:00.039172 |                         Processing response from /10.1.0.6:7001                         |
| 2024-09-26 06:20:57.393000+00:00 | 10.0.0.4 | 0:00:00.046992 |                    MUTATION_RSP message received from /10.2.0.5:7001                    |
| 2024-09-26 06:20:57.393000+00:00 | 10.0.0.4 | 0:00:00.047104 |                         Processing response from /10.2.0.5:7001                         |
