+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                   Consistency level: LOCAL_ONE, Duration: 11.269 ms                                                    |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                       Description                                       |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-09-26 06:20:57.307000+00:00 | 10.0.0.5 | 0:00:00.000220 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (2, 'record A'); |
| 2024-09-26 06:20:57.307000+00:00 | 10.0.0.5 | 0:00:00.000398 |                                   Preparing statement                                   |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.000816 |                            Determining replicas for mutation                            |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.000976 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.001098 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.001225 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.001233 |           Sending MUTATION_REQ message to /10.0.0.4:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.308000+00:00 | 10.0.0.5 | 0:00:00.001276 |          Sending MUTATION_REQ message to /10.2.0.4:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.308001+00:00 | 10.0.0.5 | 0:00:00.001406 |          Sending MUTATION_REQ message to /10.1.0.5:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.5 | 0:00:00.000053 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.6 | 0:00:00.000012 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.5 | 0:00:00.000054 |                    MUTATION_RSP message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.6 | 0:00:00.000154 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.5 | 0:00:00.000161 |                         Processing response from /10.0.0.6:7001                         |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.6 | 0:00:00.000212 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.5 | 0:00:00.000226 |                         Processing response from /10.0.0.4:7001                         |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.6 | 0:00:00.000281 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-09-26 06:20:57.310000+00:00 | 10.0.0.6 | 0:00:00.000413 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.311000+00:00 | 10.0.0.4 | 0:00:00.000020 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-09-26 06:20:57.311000+00:00 | 10.0.0.4 | 0:00:00.000153 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.311000+00:00 | 10.0.0.4 | 0:00:00.000214 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.311000+00:00 | 10.0.0.4 | 0:00:00.000272 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-09-26 06:20:57.311000+00:00 | 10.0.0.4 | 0:00:00.000396 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
