+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                  Consistency level: LOCAL_QUORUM, Duration: 14.012 ms                                                  |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|               Time               |  Source  |    Duration    |                                       Description                                       |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-09-26 06:20:57.331000+00:00 | 10.0.0.5 | 0:00:00.000008 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.331000+00:00 | 10.0.0.5 | 0:00:00.000128 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.331000+00:00 | 10.0.0.4 | 0:00:00.000105 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (3, 'record B'); |
| 2024-09-26 06:20:57.331000+00:00 | 10.0.0.4 | 0:00:00.000260 |                                   Preparing statement                                   |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.5 | 0:00:00.000200 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000653 |                            Determining replicas for mutation                            |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.5 | 0:00:00.000277 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000761 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.5 | 0:00:00.000408 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000835 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000923 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000931 |           Sending MUTATION_REQ message to /10.0.0.5:7001 message size 87 bytes          |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.000971 |          Sending MUTATION_REQ message to /10.1.0.5:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.332000+00:00 | 10.0.0.4 | 0:00:00.001072 |          Sending MUTATION_REQ message to /10.2.0.6:7001 message size 110 bytes          |
| 2024-09-26 06:20:57.333000+00:00 | 10.0.0.6 | 0:00:00.000007 |                    MUTATION_REQ message received from /10.0.0.4:7001                    |
| 2024-09-26 06:20:57.333000+00:00 | 10.0.0.6 | 0:00:00.000085 |                                  Appending to commitlog                                 |
| 2024-09-26 06:20:57.333000+00:00 | 10.0.0.6 | 0:00:00.000162 |                                Adding to mytable memtable                               |
| 2024-09-26 06:20:57.333000+00:00 | 10.0.0.6 | 0:00:00.000224 |                           Enqueuing response to /10.0.0.4:7001                          |
| 2024-09-26 06:20:57.333000+00:00 | 10.0.0.6 | 0:00:00.000370 |           Sending MUTATION_RSP message to /10.0.0.4:7001 message size 34 bytes          |
| 2024-09-26 06:20:57.334000+00:00 | 10.0.0.4 | 0:00:00.002643 |                    MUTATION_RSP message received from /10.0.0.5:7001                    |
| 2024-09-26 06:20:57.334000+00:00 | 10.0.0.4 | 0:00:00.002821 |                         Processing response from /10.0.0.5:7001                         |
| 2024-09-26 06:20:57.334000+00:00 | 10.0.0.4 | 0:00:00.000012 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-09-26 06:20:57.335000+00:00 | 10.0.0.4 | 0:00:00.000156 |                         Processing response from /10.0.0.6:7001                         |
+----------------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
