+----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                    Read Consistency level: ALL, Duration: 493.139 ms                                                     |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                           Description                                           |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
| 2024-07-01 18:28:13.030000 | 10.0.0.5 | 0:00:00.000166 |                      Parsing SELECT * FROM three_dc_three_replicas.mytable;                     |
| 2024-07-01 18:28:13.030000 | 10.0.0.5 | 0:00:00.000294 |                                       Preparing statement                                       |
| 2024-07-01 18:28:13.030000 | 10.0.0.5 | 0:00:00.000608 |                                    Computing ranges to query                                    |
| 2024-07-01 18:28:13.030000 | 10.0.0.5 | 0:00:00.000794 |  Submitting range requests on 145 ranges with a concurrency of 1 (0.0 rows per range expected)  |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002023 |       Enqueuing request to Full(/10.0.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002121 |       Enqueuing request to Full(/10.0.0.4:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002151 |                Sending RANGE_REQ message to /10.0.0.5:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002180 |       Enqueuing request to Full(/10.0.0.6:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002203 |                Sending RANGE_REQ message to /10.0.0.4:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032000 | 10.0.0.5 | 0:00:00.002233 |       Enqueuing request to Full(/10.2.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002250 |                Sending RANGE_REQ message to /10.0.0.6:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002273 |       Enqueuing request to Full(/10.1.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002315 |       Enqueuing request to Full(/10.2.0.6:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002335 |                Sending RANGE_REQ message to /10.1.0.5:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002355 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002361 |       Enqueuing request to Full(/10.1.0.4:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002376 |                Sending RANGE_REQ message to /10.2.0.6:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002383 |                Sending RANGE_REQ message to /10.2.0.5:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002393 |       Enqueuing request to Full(/10.2.0.4:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002414 |                Sending RANGE_REQ message to /10.1.0.4:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002426 |       Enqueuing request to Full(/10.1.0.6:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:13.032001 | 10.0.0.5 | 0:00:00.002438 |                Sending RANGE_REQ message to /10.2.0.4:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032002 | 10.0.0.5 | 0:00:00.002506 |                Sending RANGE_REQ message to /10.1.0.6:7001 message size 107 bytes               |
| 2024-07-01 18:28:13.032002 | 10.0.0.5 | 0:00:00.002610 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:13.032002 | 10.0.0.5 | 0:00:00.002627 |                              Submitted 1 concurrent range requests                              |
| 2024-07-01 18:28:13.033000 | 10.0.0.4 | 0:00:00.000012 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:13.033000 | 10.0.0.6 | 0:00:00.000008 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:13.033000 | 10.0.0.5 | 0:00:00.002827 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:13.033000 | 10.0.0.4 | 0:00:00.000165 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:13.033000 | 10.0.0.6 | 0:00:00.000146 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:13.033000 | 10.0.0.5 | 0:00:00.002898 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:13.033000 | 10.0.0.4 | 0:00:00.000325 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:13.033000 | 10.0.0.6 | 0:00:00.000289 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:13.033000 | 10.0.0.5 | 0:00:00.003035 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
| 2024-07-01 18:28:13.033000 | 10.0.0.4 | 0:00:00.000359 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:13.033000 | 10.0.0.6 | 0:00:00.000317 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:13.033000 | 10.0.0.5 | 0:00:00.003228 |                          RANGE_RSP message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:13.033000 | 10.0.0.4 | 0:00:00.000437 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
| 2024-07-01 18:28:13.033000 | 10.0.0.6 | 0:00:00.000389 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
