+----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                Read Consistency level: EACH_QUORUM, Duration: 478.034 ms                                                 |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                           Description                                           |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
| 2024-07-01 18:28:12.939000 | 10.0.0.5 | 0:00:00.000134 |                      Parsing SELECT * FROM three_dc_three_replicas.mytable;                     |
| 2024-07-01 18:28:12.940000 | 10.0.0.5 | 0:00:00.000271 |                                       Preparing statement                                       |
| 2024-07-01 18:28:12.940000 | 10.0.0.5 | 0:00:00.000478 |                                    Computing ranges to query                                    |
| 2024-07-01 18:28:12.940000 | 10.0.0.5 | 0:00:00.000644 |  Submitting range requests on 145 ranges with a concurrency of 1 (0.0 rows per range expected)  |
| 2024-07-01 18:28:12.942000 | 10.0.0.5 | 0:00:00.003116 |       Enqueuing request to Full(/10.0.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:12.943000 | 10.0.0.4 | 0:00:00.000005 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:12.943000 | 10.0.0.5 | 0:00:00.003203 |       Enqueuing request to Full(/10.0.0.4:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:12.943000 | 10.0.0.4 | 0:00:00.000108 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:12.943000 | 10.0.0.5 | 0:00:00.003235 |                Sending RANGE_REQ message to /10.0.0.5:7001 message size 107 bytes               |
| 2024-07-01 18:28:12.943000 | 10.0.0.4 | 0:00:00.000191 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:12.943000 | 10.0.0.5 | 0:00:00.003242 |       Enqueuing request to Full(/10.2.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:12.943000 | 10.0.0.4 | 0:00:00.000211 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:12.943000 | 10.0.0.5 | 0:00:00.003261 |                Sending RANGE_REQ message to /10.0.0.4:7001 message size 107 bytes               |
| 2024-07-01 18:28:12.943000 | 10.0.0.4 | 0:00:00.000264 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
