+----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                Read Consistency level: LOCAL_QUORUM, Duration: 35.595 ms                                                 |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                           Description                                           |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
| 2024-07-01 18:28:12.923000 | 10.0.0.5 | 0:00:00.000104 |                      Parsing SELECT * FROM three_dc_three_replicas.mytable;                     |
| 2024-07-01 18:28:12.923000 | 10.0.0.5 | 0:00:00.000228 |                                       Preparing statement                                       |
| 2024-07-01 18:28:12.923000 | 10.0.0.5 | 0:00:00.000503 |                                    Computing ranges to query                                    |
| 2024-07-01 18:28:12.924000 | 10.0.0.5 | 0:00:00.000699 |  Submitting range requests on 145 ranges with a concurrency of 1 (0.0 rows per range expected)  |
| 2024-07-01 18:28:12.925000 | 10.0.0.4 | 0:00:00.000010 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.001704 |       Enqueuing request to Full(/10.0.0.5:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:12.925000 | 10.0.0.4 | 0:00:00.000166 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.001784 |       Enqueuing request to Full(/10.0.0.4:7001,(9133628120382734592,-9033229759575265288])      |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.001815 |                              Submitted 1 concurrent range requests                              |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.001809 |                Sending RANGE_REQ message to /10.0.0.5:7001 message size 107 bytes               |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.001858 |                Sending RANGE_REQ message to /10.0.0.4:7001 message size 107 bytes               |
| 2024-07-01 18:28:12.925000 | 10.0.0.5 | 0:00:00.002046 |                          RANGE_REQ message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:12.925001 | 10.0.0.5 | 0:00:00.002132 | Executing seq scan across 0 sstables for (min(-9223372036854775808), min(-9223372036854775808)] |
| 2024-07-01 18:28:12.925001 | 10.0.0.5 | 0:00:00.002334 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:12.925001 | 10.0.0.5 | 0:00:00.002371 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:12.925001 | 10.0.0.5 | 0:00:00.002438 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
| 2024-07-01 18:28:12.926000 | 10.0.0.4 | 0:00:00.000268 |                              Read 4 live rows and 0 tombstone cells                             |
| 2024-07-01 18:28:12.926000 | 10.0.0.5 | 0:00:00.002606 |                          RANGE_RSP message received from /10.0.0.5:7001                         |
| 2024-07-01 18:28:12.926000 | 10.0.0.4 | 0:00:00.000290 |                               Enqueuing response to /10.0.0.5:7001                              |
| 2024-07-01 18:28:12.926000 | 10.0.0.5 | 0:00:00.002668 |                             Processing response from /10.0.0.5:7001                             |
| 2024-07-01 18:28:12.926000 | 10.0.0.4 | 0:00:00.000354 |                Sending RANGE_RSP message to /10.0.0.5:7001 message size 160 bytes               |
| 2024-07-01 18:28:12.927000 | 10.0.0.5 | 0:00:00.003672 |                          RANGE_RSP message received from /10.0.0.4:7001                         |
| 2024-07-01 18:28:12.927000 | 10.0.0.5 | 0:00:00.003736 |                             Processing response from /10.0.0.4:7001                             |
+----------------------------+----------+----------------+-------------------------------------------------------------------------------------------------+
