+--------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                   Consistency level: ALL, Duration: 707.98 ms                                                    |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                       Description                                       |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-07-01 18:28:08.627000 | 10.0.0.5 | 0:00:00.000141 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (5, 'record D'); |
| 2024-07-01 18:28:08.627000 | 10.0.0.5 | 0:00:00.000296 |                                   Preparing statement                                   |
| 2024-07-01 18:28:08.627000 | 10.0.0.5 | 0:00:00.000700 |                            Determining replicas for mutation                            |
| 2024-07-01 18:28:08.628000 | 10.0.0.6 | 0:00:00.000010 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.000781 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.000844 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.000844 |           Sending MUTATION_REQ message to /10.0.0.4:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.000844 |          Sending MUTATION_REQ message to /10.2.0.6:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.000846 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.628000 | 10.0.0.5 | 0:00:00.001542 |          Sending MUTATION_REQ message to /10.1.0.4:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.629000 | 10.0.0.4 | 0:00:00.000005 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.629000 | 10.0.0.6 | 0:00:00.000058 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.629000 | 10.0.0.5 | 0:00:00.002015 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-07-01 18:28:08.629000 | 10.0.0.4 | 0:00:00.000056 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.629000 | 10.0.0.6 | 0:00:00.000092 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.629000 | 10.0.0.5 | 0:00:00.002068 |                         Processing response from /10.0.0.6:7001                         |
| 2024-07-01 18:28:08.629000 | 10.0.0.4 | 0:00:00.000097 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.629000 | 10.0.0.6 | 0:00:00.000117 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.629000 | 10.0.0.4 | 0:00:00.000121 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.629000 | 10.0.0.6 | 0:00:00.000185 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.629000 | 10.0.0.4 | 0:00:00.000180 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.630000 | 10.0.0.5 | 0:00:00.002983 |                    MUTATION_RSP message received from /10.0.0.4:7001                    |
| 2024-07-01 18:28:08.630000 | 10.0.0.5 | 0:00:00.003074 |                         Processing response from /10.0.0.4:7001                         |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000018 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000189 |                       Enqueuing forwarded write to /10.2.0.5:7001                       |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000232 |                       Enqueuing forwarded write to /10.2.0.4:7001                       |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000259 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000278 |           Sending MUTATION_REQ message to /10.2.0.5:7001 message size 96 bytes          |
| 2024-07-01 18:28:08.644000 | 10.2.0.6 | 0:00:00.000286 |           Sending MUTATION_REQ message to /10.2.0.4:7001 message size 96 bytes          |
| 2024-07-01 18:28:08.644001 | 10.2.0.6 | 0:00:00.000289 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.644001 | 10.2.0.6 | 0:00:00.000324 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.645000 | 10.2.0.6 | 0:00:00.000443 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.645000 | 10.2.0.4 | 0:00:00.000014 |                    MUTATION_REQ message received from /10.2.0.6:7001                    |
| 2024-07-01 18:28:08.645000 | 10.2.0.4 | 0:00:00.000166 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.645000 | 10.2.0.4 | 0:00:00.000221 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.645000 | 10.2.0.4 | 0:00:00.000281 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.645000 | 10.2.0.4 | 0:00:00.000345 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.646000 | 10.2.0.5 | 0:00:00.000009 |                    MUTATION_REQ message received from /10.2.0.6:7001                    |
| 2024-07-01 18:28:08.646000 | 10.2.0.5 | 0:00:00.000099 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.646000 | 10.2.0.5 | 0:00:00.000155 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.646000 | 10.2.0.5 | 0:00:00.000207 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.647000 | 10.2.0.5 | 0:00:00.000304 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.654000 | 10.1.0.6 | 0:00:00.000013 |                    MUTATION_REQ message received from /10.1.0.4:7001                    |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000018 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.654000 | 10.1.0.5 | 0:00:00.000016 |                    MUTATION_REQ message received from /10.1.0.4:7001                    |
| 2024-07-01 18:28:08.654000 | 10.1.0.6 | 0:00:00.000104 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000167 |                       Enqueuing forwarded write to /10.1.0.5:7001                       |
| 2024-07-01 18:28:08.654000 | 10.1.0.5 | 0:00:00.000123 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.654000 | 10.1.0.6 | 0:00:00.000139 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000227 |                       Enqueuing forwarded write to /10.1.0.6:7001                       |
| 2024-07-01 18:28:08.654000 | 10.1.0.6 | 0:00:00.000171 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000252 |           Sending MUTATION_REQ message to /10.1.0.5:7001 message size 96 bytes          |
| 2024-07-01 18:28:08.654000 | 10.1.0.6 | 0:00:00.000230 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000267 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.654000 | 10.1.0.4 | 0:00:00.000287 |           Sending MUTATION_REQ message to /10.1.0.6:7001 message size 96 bytes          |
| 2024-07-01 18:28:08.654001 | 10.1.0.4 | 0:00:00.000303 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.654001 | 10.1.0.4 | 0:00:00.000356 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.654001 | 10.1.0.4 | 0:00:00.000420 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.655000 | 10.1.0.5 | 0:00:00.000175 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.655000 | 10.1.0.5 | 0:00:00.000212 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.655000 | 10.1.0.5 | 0:00:00.000287 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.666000 | 10.0.0.5 | 0:00:00.039520 |                    MUTATION_RSP message received from /10.1.0.4:7001                    |
| 2024-07-01 18:28:08.666000 | 10.0.0.5 | 0:00:00.039612 |                         Processing response from /10.1.0.4:7001                         |
| 2024-07-01 18:28:08.677000 | 10.0.0.5 | 0:00:00.049933 |                    MUTATION_RSP message received from /10.1.0.6:7001                    |
| 2024-07-01 18:28:08.677000 | 10.0.0.5 | 0:00:00.050104 |                         Processing response from /10.1.0.6:7001                         |
| 2024-07-01 18:28:08.688000 | 10.0.0.5 | 0:00:00.061273 |                    MUTATION_RSP message received from /10.1.0.5:7001                    |
| 2024-07-01 18:28:08.688000 | 10.0.0.5 | 0:00:00.061376 |                         Processing response from /10.1.0.5:7001                         |
| 2024-07-01 18:28:08.689000 | 10.0.0.5 | 0:00:00.062308 |                    MUTATION_RSP message received from /10.2.0.5:7001                    |
| 2024-07-01 18:28:08.689000 | 10.0.0.5 | 0:00:00.062476 |                         Processing response from /10.2.0.5:7001                         |
| 2024-07-01 18:28:08.690000 | 10.0.0.5 | 0:00:00.063481 |                    MUTATION_RSP message received from /10.2.0.6:7001                    |
| 2024-07-01 18:28:08.690000 | 10.0.0.5 | 0:00:00.063559 |                         Processing response from /10.2.0.6:7001                         |
| 2024-07-01 18:28:08.691000 | 10.0.0.5 | 0:00:00.064234 |                    MUTATION_RSP message received from /10.2.0.4:7001                    |
| 2024-07-01 18:28:08.691000 | 10.0.0.5 | 0:00:00.064319 |                         Processing response from /10.2.0.4:7001                         |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
