+--------------------------------------------------------------------------------------------------------------------------------------------------+
|                                         Consistency level: EACH_QUORUM, Duration: 504.66299999999995 ms                                          |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                       Description                                       |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-07-01 18:28:08.558000 | 10.0.0.5 | 0:00:00.000086 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (4, 'record C'); |
| 2024-07-01 18:28:08.558000 | 10.0.0.5 | 0:00:00.000182 |                                   Preparing statement                                   |
| 2024-07-01 18:28:08.559000 | 10.0.0.6 | 0:00:00.000013 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000425 |                            Determining replicas for mutation                            |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000576 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000602 |           Sending MUTATION_REQ message to /10.0.0.4:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000602 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000609 |          Sending MUTATION_REQ message to /10.1.0.4:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000622 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.559000 | 10.0.0.5 | 0:00:00.000623 |          Sending MUTATION_REQ message to /10.2.0.6:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.560000 | 10.0.0.4 | 0:00:00.000006 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.560000 | 10.0.0.6 | 0:00:00.000136 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.560000 | 10.0.0.5 | 0:00:00.001830 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-07-01 18:28:08.560000 | 10.0.0.4 | 0:00:00.000055 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.560000 | 10.0.0.6 | 0:00:00.000172 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.560000 | 10.0.0.5 | 0:00:00.001910 |                         Processing response from /10.0.0.6:7001                         |
| 2024-07-01 18:28:08.560000 | 10.0.0.4 | 0:00:00.000087 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.560000 | 10.0.0.6 | 0:00:00.000212 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.560000 | 10.0.0.5 | 0:00:00.001997 |                    MUTATION_RSP message received from /10.0.0.4:7001                    |
| 2024-07-01 18:28:08.560000 | 10.0.0.4 | 0:00:00.000107 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.560000 | 10.0.0.6 | 0:00:00.000262 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.560000 | 10.0.0.5 | 0:00:00.002079 |                         Processing response from /10.0.0.4:7001                         |
| 2024-07-01 18:28:08.560000 | 10.0.0.4 | 0:00:00.000144 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.570000 | 10.1.0.4 | 0:00:00.000010 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.570000 | 10.1.0.4 | 0:00:00.000176 |                       Enqueuing forwarded write to /10.1.0.6:7001                       |
