+--------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                Consistency level: LOCAL_ONE, Duration: 10.618 ms                                                 |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                       Description                                       |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-07-01 18:28:08.532000 | 10.0.0.5 | 0:00:00.000148 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (2, 'record A'); |
| 2024-07-01 18:28:08.532000 | 10.0.0.5 | 0:00:00.000467 |                                   Preparing statement                                   |
| 2024-07-01 18:28:08.532000 | 10.0.0.5 | 0:00:00.000987 |                            Determining replicas for mutation                            |
| 2024-07-01 18:28:08.533000 | 10.0.0.4 | 0:00:00.000010 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001094 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001140 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001251 |          Sending MUTATION_REQ message to /10.2.0.4:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001250 |           Sending MUTATION_REQ message to /10.0.0.4:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001251 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.533000 | 10.0.0.5 | 0:00:00.001342 |          Sending MUTATION_REQ message to /10.1.0.4:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.534000 | 10.0.0.4 | 0:00:00.000133 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.534000 | 10.0.0.6 | 0:00:00.000021 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.534000 | 10.0.0.4 | 0:00:00.000181 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.534000 | 10.0.0.6 | 0:00:00.000174 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.534000 | 10.0.0.4 | 0:00:00.000217 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.534000 | 10.0.0.6 | 0:00:00.000214 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.534000 | 10.0.0.6 | 0:00:00.000256 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.534000 | 10.0.0.6 | 0:00:00.000339 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.535000 | 10.0.0.5 | 0:00:00.000008 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-07-01 18:28:08.535000 | 10.0.0.5 | 0:00:00.000062 |                         Processing response from /10.0.0.6:7001                         |
| 2024-07-01 18:28:08.535000 | 10.0.0.5 | 0:00:00.000007 |                    MUTATION_RSP message received from /10.0.0.4:7001                    |
| 2024-07-01 18:28:08.535000 | 10.0.0.5 | 0:00:00.000066 |                         Processing response from /10.0.0.4:7001                         |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
