+--------------------------------------------------------------------------------------------------------------------------------------------------+
|                                               Consistency level: LOCAL_QUORUM, Duration: 11.744 ms                                               |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
|            Time            |  Source  |    Duration    |                                       Description                                       |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
| 2024-07-01 18:28:08.546000 | 10.0.0.5 | 0:00:00.000099 | Parsing INSERT INTO three_dc_three_replicas.mytable (id, value) VALUES (3, 'record B'); |
| 2024-07-01 18:28:08.546000 | 10.0.0.5 | 0:00:00.000312 |                                   Preparing statement                                   |
| 2024-07-01 18:28:08.546000 | 10.0.0.5 | 0:00:00.000575 |                            Determining replicas for mutation                            |
| 2024-07-01 18:28:08.546000 | 10.0.0.5 | 0:00:00.000731 |           Sending MUTATION_REQ message to /10.0.0.4:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.546000 | 10.0.0.5 | 0:00:00.000732 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.546001 | 10.0.0.5 | 0:00:00.000758 |           Sending MUTATION_REQ message to /10.0.0.6:7001 message size 87 bytes          |
| 2024-07-01 18:28:08.546001 | 10.0.0.5 | 0:00:00.000780 |          Sending MUTATION_REQ message to /10.2.0.6:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.546001 | 10.0.0.5 | 0:00:00.000850 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.547000 | 10.0.0.4 | 0:00:00.000004 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.547000 | 10.0.0.6 | 0:00:00.000004 |                    MUTATION_REQ message received from /10.0.0.5:7001                    |
| 2024-07-01 18:28:08.547000 | 10.0.0.5 | 0:00:00.000952 |          Sending MUTATION_REQ message to /10.1.0.6:7001 message size 110 bytes          |
| 2024-07-01 18:28:08.547000 | 10.0.0.4 | 0:00:00.000121 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.547000 | 10.0.0.6 | 0:00:00.000064 |                                  Appending to commitlog                                 |
| 2024-07-01 18:28:08.547000 | 10.0.0.4 | 0:00:00.000158 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.547000 | 10.0.0.6 | 0:00:00.000101 |                                Adding to mytable memtable                               |
| 2024-07-01 18:28:08.547000 | 10.0.0.4 | 0:00:00.000179 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.547000 | 10.0.0.6 | 0:00:00.000137 |                           Enqueuing response to /10.0.0.5:7001                          |
| 2024-07-01 18:28:08.547000 | 10.0.0.6 | 0:00:00.000297 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.548000 | 10.0.0.4 | 0:00:00.000218 |           Sending MUTATION_RSP message to /10.0.0.5:7001 message size 34 bytes          |
| 2024-07-01 18:28:08.548000 | 10.0.0.5 | 0:00:00.002261 |                    MUTATION_RSP message received from /10.0.0.6:7001                    |
| 2024-07-01 18:28:08.548000 | 10.0.0.5 | 0:00:00.002341 |                         Processing response from /10.0.0.6:7001                         |
| 2024-07-01 18:28:08.548000 | 10.0.0.5 | 0:00:00.000009 |                    MUTATION_RSP message received from /10.0.0.4:7001                    |
| 2024-07-01 18:28:08.549000 | 10.0.0.5 | 0:00:00.000061 |                         Processing response from /10.0.0.4:7001                         |
+----------------------------+----------+----------------+-----------------------------------------------------------------------------------------+
